chrom	chromStart	chromEnd	name	title	trait	genes	orOrBeta	pValue	lincRNAsTranscripts_name	lincRNAsTranscripts_distance	lincRNAsTranscripts_feature	refGene_name	refGene_distance	refGene_feature
chrY	940179	940180	rs4129148	Converging evidence for a pseudoautosomal cytokine receptor gene locus in schizophrenia.	Schizophrenia	CSF2RA,IL3RA	3.23	4E-7	TCONS_00017600	35079	intergenic	CRLF2	-324706	intergenic
chrY	6477299	6477300	rs5941160	Genetically distinct subsets within ANCA-associated vasculitis.	Antineutrophil cytoplasmic antibody-associated vasculitis	CPXCR1	NR	2E-20	TCONS_00017583;TCONS_00017624	135628;135628	intergenic;intergenic	TTTY8;TTTY8B	135628;135628	intergenic;intergenic
chr6_apd_hap1	79517	79518	rs4324798	A genome-wide association study of lung cancer identifies a region of chromosome 5p15 associated with risk for adenocarcinoma.	Lung adenocarcinoma	TRNAA-UGC	1.16	2E-8	TCONS_00029941	-51284	intergenic	LOC401242	-51284	intergenic
chr6_apd_hap1	387667	387668	rs3129109	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	Height	OR2J3	.03	2E-17	TCONS_00029941	252812	intergenic	OR2J3	3627	intergenic
chr6_apd_hap1	737891	737892	rs4713226	Genome-wide analysis of polymorphisms associated with cytokine responses in smallpox vaccine recipients.	Immune reponse to smallpox (secreted IFN-alpha)	OR2H1	NR	2E-8	TCONS_00029943	-62788	intergenic	OR2H1	2314	intergenic
chr6_apd_hap1	914963	914964	rs29232	Genome-wide association study reveals multiple nasopharyngeal carcinoma-associated loci within the HLA region at chromosome 6p21.3.	Nasopharyngeal carcinoma	GABBR1	1.67	9E-17	TCONS_00029943	110135	intergenic	GABBR1	10467	intergenic
chr6_apd_hap1	1091481	1091482	rs2523809	A genome-wide association study of plasma total IgE concentrations in the Framingham Heart Study.	IgE levels	HLA-G	.06	4E-8	TCONS_00029938	-17094	intergenic	HLA-H	-5778	intergenic
chr6_apd_hap1	1146572	1146573	rs2860580	A genome-wide association study of nasopharyngeal carcinoma identifies three new susceptibility loci.	Nasopharyngeal carcinoma	HLA-A	1.72	5E-67	TCONS_l2_00031065	7249	intergenic	HLA-A	-3559	intergenic
chr6_apd_hap1	1153184	1153185	rs1061235	HLA-A*3101 and carbamazepine-induced hypersensitivity reactions in Europeans.	Adverse response to carbamapezine	HLA-A*3101	9.12	1E-7	TCONS_l2_00031065	13861	intergenic	HLA-A	0	exon+utr3
chr6_apd_hap1	1157989	1157990	rs2517713	Genome-wide association study reveals multiple nasopharyngeal carcinoma-associated loci within the HLA region at chromosome 6p21.3.	Nasopharyngeal carcinoma	HLA-A	1.88	4E-20	TCONS_l2_00031065	18666	intergenic	HLA-A	4441	intergenic
chr6_apd_hap1	1160222	1160223	rs9260489	Genome-wide meta-analysis identifies novel multiple sclerosis susceptibility loci.	Multiple sclerosis	HLA-B	1.21	1E-11	TCONS_l2_00031065	20899	intergenic	HLA-A	6674	intergenic
chr6_apd_hap1	1163712	1163713	rs2571391	A genome-wide association study of plasma total IgE concentrations in the Framingham Heart Study.	IgE levels	HLA-A	.06	1E-15	TCONS_l2_00031065	24389	intergenic	HLA-A	10164	intergenic
chr6_apd_hap1	1210439	1210440	rs7758512	Common genetic variation and the control of HIV-1 in humans.	HIV-1 control	ZNRD1, RNF39, HLA-A	NR	2E-8	TCONS_l2_00031065	71116	intergenic	ZNRD1-AS1	0	nc_intron
chr6_apd_hap1	1213772	1213773	rs4313034	Identification of independent risk loci for Graves' disease within the MHC in the Japanese population.	Graves' disease	MHC	1.67	2E-15	TCONS_l2_00031065	74449	intergenic	HLA-J;ZNRD1-AS1	0;0	nc_intron;nc_intron
chr6_apd_hap1	1257285	1257286	rs6917603	Genome-wide association study identifies multiple loci influencing human serum metabolite levels.	Lipid metabolism phenotypes	PPP1R11	.24	3E-29	TCONS_l2_00031065	117962	intergenic	ZNRD1-AS1	0	nc_intron
chr6_apd_hap1	1265739	1265740	rs259919	Common genetic variation and the control of HIV-1 in humans.	HIV-1 control	C6orf12, ZNRD1	NR	3E-7	TCONS_l2_00031065	126416	intergenic	ZNRD1-AS1	0	nc_intron
chr6_apd_hap1	1272752	1272753	rs8321	Genomewide association study of an AIDS-nonprogression cohort emphasizes the role played by HLA genes (ANRS Genomewide Association Study 02).	AIDS progression	ZNRD1, RNF39	NR	5E-7	TCONS_l2_00031065	133429	intergenic	ZNRD1	0	exon+utr3
chr6_apd_hap1	1320597	1320598	rs34704616	Common genetic variation and performance on standardized cognitive tests.	Cognitive performance	XXbac-BPG250I8.13	NR	6E-6	TCONS_l2_00031065	181274	intergenic	TRIM31	0	cds
chr6_apd_hap1	1333595	1333596	rs10947055	Hypertrophy-associated polymorphisms ascertained in a founder cohort applied to heart failure risk and mortality.	Cardiac hypertrophy	TRIM38	NR	2E-7	TCONS_l2_00031065	194272	intergenic	TRIM40	-11148	intergenic
chr6_apd_hap1	1360124	1360125	rs9468692	Common genetic variation and the control of HIV-1 in humans.	HIV-1 control	TRIM10	NR	1E-6	TCONS_l2_00031072	-206691	intergenic	TRIM10	0	exon+utr3
chr6_apd_hap1	1405472	1405473	rs2523722	Genome-wide association study implicates HLA-C*01:02 as a risk factor at the major histocompatibility complex locus in schizophrenia.	Schizophrenia	MHC, TRIM26	1.25	1E-16	TCONS_l2_00031072	-161343	intergenic	TRIM26	0	intron
chr6_apd_hap1	1414330	1414331	rs2021722	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	TRIM26	1.15	2E-12	TCONS_l2_00031072	-152485	intergenic	TRIM26	0	intron+utr5
chr6_apd_hap1	2314595	2314596	rs4248154	Identification of independent risk loci for Graves' disease within the MHC in the Japanese population.	Graves' disease	MHC	1.38	1E-13	TCONS_00029939	-22096	intergenic	MUC22	0	cds
