chrom	chromStart	chromEnd	name	trait	genes	orOrBeta	pValue
chr1	1005805	1005806	rs3934834	Body mass index	NR	.11	6E-7
chr1	2069171	2069172	rs425277	Height	PRKCZ	.02	2E-8
chr1	2069680	2069681	rs3753242	Reasoning	PRKCZ	NR	1E-6
chr1	2392647	2392648	rs2477686	Non-obstructive azoospermia	PEX10, MMEL1	1.39	6E-12
chr1	2513215	2513216	rs734999	Ulcerative colitis	TNFRSF14, MMEL1, PLCH2, C1orf93	1.05	3E-9
chr1	2526745	2526746	rs3748816	Celiac disease	TNFRSF14, MMEL1	1.12	3E-9
chr1	2553623	2553624	rs3890745	Rheumatoid arthritis	TNFRSF14	1.12	4E-6
chr1	2553623	2553624	rs3890745	Rheumatoid arthritis	MMEL1,TNFRSF14	1.12	1E-7
chr1	2709163	2709164	rs4648356	Multiple sclerosis	MMEL1	1.14	1E-14
chr1	3083711	3083712	rs2651899	Migraine	PRDM16	1.11	4E-9
chr1	3280252	3280253	rs6658356	Response to statin therapy	PRDM16,ARHGEF16,MEFGF6	NR	2E-6
chr1	3649561	3649562	rs9662633	Visceral adipose tissue adjusted for BMI	TP73	NR	6E-6
chr1	3651030	3651031	rs12562437	Visceral adipose tissue/subcutaneous adipose tissue ratio	KIAA0495, LRRC47, TP73, CCDC27	NR	2E-6
chr1	3651408	3651409	rs10910018	Visceral fat	KIAA0495,LRRC47,TP73,CCDC27	NR	2E-6
chr1	3651408	3651409	rs10910018	Visceral fat	KIAA0495, LRRC47, TP73, CCDC27	NR	2E-6
chr1	4315203	4315204	rs966321	Factor VII	Intergenic	NR	8E-6
chr1	4668669	4668670	rs3896439	Dental caries	AJAP1	NR	2E-8
chr1	5170711	5170712	rs7513590	Anthropometric traits	Intergenic	.31	5E-6
chr1	5913620	5913621	rs548726	Response to taxane treatment (placlitaxel)	NPHP4	NR	5E-7
chr1	6279369	6279370	rs846111	QT interval	RNF207	1.49	4E-16
chr1	6279369	6279370	rs846111	QT interval	RNF207,NPHP4, CHDS, ACOT7, PLEKHG5, KLH21	1.75	1E-16
chr1	6631430	6631431	rs11587438	White blood cell types	TAS1R1	.08	4E-6
chr1	7521584	7521585	rs1616122	Periodontal microbiota	CAMTA1, VAMP3	1.85	5E-6
chr1	7879062	7879063	rs2797685	Crohn's disease	VAMP3	1.05	7E-9
chr1	8021972	8021973	rs35675666	Ulcerative colitis	TNFRSF9, ERFFI1, UTS2, PARK7	1.08	5E-9
chr1	8046671	8046672	rs12727642	Celiac disease	PARK7, TNFRSF9	1.14	9E-8
chr1	8338354	8338355	rs438895	Economic and political preferences	Intergenic	.38	7E-6
chr1	8422675	8422676	rs2252865	Schizophrenia	NR	1.08	3E-6
chr1	8526141	8526142	rs4908760	Vitiligo	RERE	1.36	7E-15
chr1	8759553	8759554	rs12025126	Vertical cup-disc ratio	RERE	.01	6E-8
chr1	9408958	9408959	rs11121380	Response to tocilizumab in rheumatoid arthritis	SPSB1	11.11	5E-8
chr1	9411468	9411469	rs11121382	Immune response to anthrax vaccine	SPSB1	.10	4E-6
